keywords,노출수,클릭수,ratio,period
(주)LG데이콤,78,0,0,2021-01-01
(주)LG데이콤,43,0,0,2021-02-01
(주)LG데이콤,61,0,0,2021-03-01
(주)LG데이콤,65,0,0,2021-04-01
(주)LG데이콤,61,0,0,2021-05-01
(주)LG데이콤,46,0,0,2021-06-01
(주)LG데이콤,22,0,0,2021-07-01
(주)LG데이콤,18,0,0,2021-08-01
(주)LG데이콤,6,0,0,2021-09-01
(주)LG데이콤,5,0,0,2021-10-01
(주)LG데이콤,7,0,0,2021-11-01
(주)LG데이콤,15,0,0,2021-12-01
(주)LG데이콤,13,0,0,2022-01-01
(주)LG데이콤,11,0,0,2022-02-01
(주)LG데이콤,14,0,0,2022-03-01
(주)LG데이콤,13,0,0,2022-04-01
(주)LG데이콤,16,0,0,2022-05-01
(주)LG데이콤,18,0,0,2022-06-01
(주)LG데이콤,25,0,0,2022-07-01
(주)LG데이콤,28,0,0,2022-08-01
(주)LG데이콤,18,0,0,2022-09-01
(주)LG데이콤,24,0,0,2022-10-01
(주)LG데이콤,26,0,0,2022-11-01
(주)LG데이콤,25,0,0,2022-12-01
05050팩스,5,0,0,2021-02-01
05050팩스,6,1,0,2021-03-01
05050팩스,7,0,0,2021-04-01
05050팩스,5,1,0,2021-05-01
05050팩스,2,0,0,2021-06-01
05050팩스,2,1,0,2021-07-01
05050팩스,4,1,0,2021-08-01
05050팩스,3,0,0,2021-09-01
05050팩스,4,1,0,2021-10-01
05050팩스,3,1,0,2021-12-01
05050팩스,1,0,0,2022-01-01
05050팩스,5,1,0,2022-02-01
05050팩스,2,0,0,2022-04-01
05050팩스,1,0,0,2022-05-01
05050팩스,3,0,0,2022-06-01
05050팩스,2,1,0,2022-07-01
05050팩스,1,0,0,2022-08-01
05050팩스,1,0,0,2022-09-01
05050팩스,1,0,0,2022-10-01
05050팩스,1,0,0,2022-12-01
0505FAX,14,0,0,2021-02-01
0505FAX,38,1,0,2021-03-01
0505FAX,56,5,0,2021-04-01
0505FAX,45,0,0,2021-05-01
0505FAX,56,0,0,2021-06-01
0505FAX,31,0,0,2021-07-01
0505FAX,30,0,0,2021-08-01
0505FAX,30,0,0,2021-09-01
0505FAX,31,0,0,2021-10-01
0505FAX,26,1,0,2021-11-01
0505FAX,31,0,0,2021-12-01
0505FAX,20,0,0,2022-01-01
0505FAX,21,1,0,2022-02-01
0505FAX,37,1,0,2022-03-01
0505FAX,34,0,0,2022-04-01
0505FAX,78,5,0,2022-05-01
0505FAX,87,4,0,2022-06-01
0505FAX,64,0,0,2022-07-01
0505FAX,44,1,0,2022-08-01
0505FAX,26,0,0,2022-09-01
0505FAX,21,0,0,2022-10-01
0505FAX,30,1,0,2022-11-01
0505FAX,22,1,0,2022-12-01
0505FAX보내기,1,0,0,2021-02-01
0505FAX보내기,3,0,0,2021-03-01
0505FAX보내기,1,0,0,2021-04-01
0505FAX신청서,2,0,0,2021-04-01
0505LGU,1,0,0,2021-06-01
0505LGU,1,1,0,2021-09-01
0505LGU,1,0,0,2022-07-01
0505LGU,2,0,0,2022-08-01
0505LGU+,1,0,0,2021-05-01
0505LGU+,1,0,0,2021-06-01
0505LGU+,1,0,0,2021-10-01
0505LGU+,1,0,0,2021-12-01
0505LGU+,1,0,0,2022-04-01
0505LGU+,3,1,0,2022-06-01
0505LGU+,3,0,0,2022-07-01
0505LGU+팩스,1,0,0,2021-05-01
0505LG팩스,3,0,0,2021-04-01
0505개인팩스,7,0,0,2021-03-01
0505개인팩스,1,0,0,2021-04-01
0505개인팩스,2,0,0,2021-06-01
0505개인팩스,3,0,0,2021-07-01
0505개인팩스,1,0,0,2022-01-01
0505개인팩스,1,0,0,2022-04-01
0505개인팩스,6,1,0,2022-05-01
0505개인팩스,4,0,0,2022-06-01
0505개인팩스,2,0,0,2022-08-01
0505개인팩스,1,0,0,2022-09-01
0505데이콤,4,0,0,2021-02-01
